antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Aqua,"Beras, Big Babol",0.2121,0.0482,0.0115,0.054219707685054214,1.1248902009347348,1.0,0.00127678,1.0063648055832501,0.14091172461744758,0.046221864951768485,0.006324551045444646,0.14640445965165572
Beras,"Aqua, Big Babol",0.2092,0.0492,0.0115,0.05497131931166348,1.1173032380419405,1.0,0.0012073599999999993,1.0061070308548306,0.13276154032240323,0.04657756176589712,0.00606996141319255,0.14435557835501872
Big Babol,"Aqua, Beras",0.2101,0.0473,0.0115,0.05473584007615421,1.1572059212717591,1.0,0.0015622699999999993,1.0078664149043302,0.17198324498973444,0.04676697844652297,0.007805017399133208,0.1489324020676754
"Aqua, Beras",Roma Kelapa,0.0473,0.2093,0.0104,0.21987315010570824,1.0505167229130827,1.0,0.0005001099999999981,1.0135531165311653,0.05047496588642785,0.04224207961007311,0.013371885804613917,0.13478129554974852
"Aqua, Roma Kelapa",Beras,0.0443,0.2092,0.0104,0.23476297968397292,1.1221939755448036,1.0,0.0011324400000000002,1.0334053097345133,0.1139358182886487,0.0427807486631016,0.03232546748099763,0.14223808640030386
"Beras, Roma Kelapa",Aqua,0.0461,0.2121,0.0104,0.22559652928416485,1.0636328584826253,1.0,0.0006221899999999982,1.0174282913165267,0.06271722564048786,0.041969330104923326,0.01712974905973453,0.13731500203010694
Aqua,"Beras, Roma Kelapa",0.2121,0.0461,0.0104,0.04903347477604903,1.0636328584826253,1.0,0.0006221899999999982,1.0030847297967278,0.07593090688978468,0.041969330104923326,0.0030752435014666413,0.13731500203010694
Beras,"Aqua, Roma Kelapa",0.2092,0.0443,0.0104,0.049713193116634795,1.1221939755448036,1.0,0.0011324400000000002,1.0056963782696178,0.1376940585969418,0.0427807486631016,0.005664113337485399,0.14223808640030386
Roma Kelapa,"Aqua, Beras",0.2093,0.0473,0.0104,0.049689440993788817,1.0505167229130827,1.0,0.0005001099999999981,1.0025143790849673,0.06081636524598434,0.04224207961007311,0.0025080728390771646,0.13478129554974852
"Beras, Roma Kelapa",Big Babol,0.0461,0.2101,0.0114,0.2472885032537961,1.1770038231975064,1.0,0.0017143899999999997,1.049406051873199,0.1576528857524879,0.04656862745098039,0.04708001424711492,0.15077418975160056
"Beras, Big Babol",Roma Kelapa,0.0482,0.2093,0.0114,0.23651452282157678,1.1300263871073901,1.0,0.0013117400000000005,1.0356451086956522,0.12089190195492938,0.04632263307598537,0.034418265867682776,0.1454908973400765
"Roma Kelapa, Big Babol",Beras,0.0461,0.2092,0.0114,0.2472885032537961,1.1820674151711095,1.0,0.0017558799999999996,1.0506017291066283,0.1614682476187323,0.04674046740467405,0.04816452105942855,0.15089090554659212
Beras,"Roma Kelapa, Big Babol",0.2092,0.0461,0.0114,0.05449330783938815,1.1820674151711095,1.0,0.0017558799999999996,1.0088770475227502,0.19477056323154873,0.04674046740467405,0.008798938923774133,0.15089090554659212
Roma Kelapa,"Beras, Big Babol",0.2093,0.0482,0.0114,0.05446727185857621,1.1300263871073901,1.0,0.0013117400000000005,1.0066282971197575,0.14552284340546578,0.04632263307598537,0.006584652089279479,0.1454908973400765
