support,itemsets
0.045,"frozenset({'Aqua', 'Lifebuoy'})"
0.0441,"frozenset({'Lifebuoy', 'Yupi'})"
0.0108,"frozenset({'Indomie Kari Ayam', 'Djarum', 'Lifebuoy'})"
0.0112,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Biskuat'})"
0.0103,"frozenset({'Lifebuoy', 'Indomie Kari Ayam', 'Momogi'})"
0.0101,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Molto'})"
0.0123,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Nabati Keju'})"
0.0123,"frozenset({'Djarum', 'Lifebuoy', 'Nabati Keju'})"
0.0122,"frozenset({'Molto', 'Lifebuoy', 'Nabati Keju'})"
0.0104,"frozenset({'Lifebuoy', 'Biskuat', 'Nabati Keju'})"
0.0112,"frozenset({'Big Babol', 'Lifebuoy', 'Nabati Keju'})"
0.0104,"frozenset({'Bimoli', 'Lifebuoy', 'Nabati Keju'})"
0.0107,"frozenset({'Lifebuoy', 'Momogi', 'Nabati Keju'})"
0.0115,"frozenset({'Indomie Kari Ayam', 'Beras', 'Lifebuoy'})"
0.0102,"frozenset({'Beras', 'Lifebuoy', 'Nabati Keju'})"
0.0112,"frozenset({'Beras', 'Lifebuoy', 'Biskuat'})"
0.0111,"frozenset({'Molto', 'Beras', 'Lifebuoy'})"
0.0106,"frozenset({'Beras', 'Lifebuoy', 'Big Babol'})"
0.0103,"frozenset({'Beras', 'Lifebuoy', 'Djarum'})"
0.0102,"frozenset({'Indomie Kari Ayam', 'Indomie Goreng', 'Lifebuoy'})"
0.0105,"frozenset({'Lifebuoy', 'Indomie Goreng', 'Momogi'})"
0.0119,"frozenset({'Molto', 'Indomie Goreng', 'Lifebuoy'})"
0.01,"frozenset({'Indomie Goreng', 'Lifebuoy', 'Biskuat'})"
0.0103,"frozenset({'Aqua', 'Indomie Goreng', 'Lifebuoy'})"
0.0105,"frozenset({'Indomie Goreng', 'Lifebuoy', 'Roma Kelapa'})"
0.0105,"frozenset({'Bimoli', 'Indomie Kari Ayam', 'Lifebuoy'})"
0.0105,"frozenset({'Bimoli', 'Djarum', 'Lifebuoy'})"
0.0101,"frozenset({'Bimoli', 'Molto', 'Lifebuoy'})"
0.0107,"frozenset({'Bimoli', 'Lifebuoy', 'Good Day'})"
0.0103,"frozenset({'Bimoli', 'Lifebuoy', 'Taro'})"
0.0104,"frozenset({'Djarum', 'Lifebuoy', 'Taro'})"
0.0111,"frozenset({'Lifebuoy', 'Taro', 'Big Babol'})"
0.0111,"frozenset({'Molto', 'Lifebuoy', 'Taro'})"
0.011,"frozenset({'Lifebuoy', 'Biskuat', 'Taro'})"
0.0107,"frozenset({'Roma Kelapa', 'Lifebuoy', 'Taro'})"
0.0105,"frozenset({'Lifebuoy', 'Taro', 'Kapal Api'})"
0.0103,"frozenset({'Lifebuoy', 'Taro', 'Nabati Keju'})"
0.0105,"frozenset({'Beras', 'Lifebuoy', 'Taro'})"
0.0104,"frozenset({'Aqua', 'Lifebuoy', 'Taro'})"
0.0118,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Taro'})"
0.0101,"frozenset({'Good Day', 'Lifebuoy', 'Taro'})"
0.0113,"frozenset({'Pocari Sweat', 'Molto', 'Lifebuoy'})"
0.0108,"frozenset({'Pocari Sweat', 'Aqua', 'Lifebuoy'})"
0.0109,"frozenset({'Pocari Sweat', 'Lifebuoy', 'Good Day'})"
0.0104,"frozenset({'Pocari Sweat', 'Beras', 'Lifebuoy'})"
0.0101,"frozenset({'Pocari Sweat', 'Lifebuoy', 'Big Babol'})"
0.0102,"frozenset({'Pocari Sweat', 'Lifebuoy', 'Roma Kelapa'})"
0.0105,"frozenset({'Pocari Sweat', 'Indomie Kari Ayam', 'Lifebuoy'})"
0.0114,"frozenset({'Molto', 'Djarum', 'Lifebuoy'})"
0.012,"frozenset({'Djarum', 'Lifebuoy', 'Biskuat'})"
0.0106,"frozenset({'Lifebuoy', 'Djarum', 'Momogi'})"
0.0102,"frozenset({'Kwaci', 'Molto', 'Lifebuoy'})"
0.01,"frozenset({'Kwaci', 'Lifebuoy', 'Biskuat'})"
0.011,"frozenset({'Kwaci', 'Beras', 'Lifebuoy'})"
0.011,"frozenset({'Lifebuoy', 'Kwaci', 'Momogi'})"
0.0101,"frozenset({'Kwaci', 'Lifebuoy', 'Gula Pasir'})"
0.0105,"frozenset({'Kwaci', 'Lifebuoy', 'Taro'})"
0.0108,"frozenset({'Kwaci', 'Indomie Kari Ayam', 'Lifebuoy'})"
0.0112,"frozenset({'Molto', 'Lifebuoy', 'Gula Pasir'})"
0.0102,"frozenset({'Lifebuoy', 'Taro', 'Gula Pasir'})"
0.0101,"frozenset({'Lifebuoy', 'Biskuat', 'Gula Pasir'})"
0.0105,"frozenset({'Lifebuoy', 'Sun Light Jeruk Nipis', 'Gula Pasir'})"
0.0106,"frozenset({'Kapal Api', 'Lifebuoy', 'Gula Pasir'})"
0.0113,"frozenset({'Lifebuoy', 'Momogi', 'Gula Pasir'})"
0.0121,"frozenset({'Molto', 'Lifebuoy', 'Roma Kelapa'})"
0.0112,"frozenset({'Lifebuoy', 'Roma Kelapa', 'Kapal Api'})"
0.0102,"frozenset({'Lifebuoy', 'Biskuat', 'Roma Kelapa'})"
0.0103,"frozenset({'Beras', 'Lifebuoy', 'Roma Kelapa'})"
0.0101,"frozenset({'Djarum', 'Lifebuoy', 'Roma Kelapa'})"
0.01,"frozenset({'Good Day', 'Lifebuoy', 'Roma Kelapa'})"
0.0109,"frozenset({'Lifebuoy', 'Momogi', 'Roma Kelapa'})"
0.0106,"frozenset({'Lifebuoy', 'Momogi', 'Good Day'})"
0.0126,"frozenset({'Lifebuoy', 'Molto', 'Momogi'})"
0.0105,"frozenset({'Lifebuoy', 'Momogi', 'Biskuat'})"
0.0109,"frozenset({'Lifebuoy', 'Momogi', 'Big Babol'})"
0.0112,"frozenset({'Molto', 'Lifebuoy', 'Big Babol'})"
0.01,"frozenset({'Lifebuoy', 'Biskuat', 'Big Babol'})"
0.0101,"frozenset({'Djarum', 'Lifebuoy', 'Big Babol'})"
0.0114,"frozenset({'Lifebuoy', 'Good Day', 'Big Babol'})"
0.0103,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Big Babol'})"
0.0106,"frozenset({'Kapal Api', 'Lifebuoy', 'Big Babol'})"
0.0105,"frozenset({'Lifebuoy', 'Momogi', 'Kapal Api'})"
0.0109,"frozenset({'Lifebuoy', 'Biskuat', 'Kapal Api'})"
0.0107,"frozenset({'Beras', 'Lifebuoy', 'Kapal Api'})"
0.0114,"frozenset({'Kapal Api', 'Lifebuoy', 'Nabati Keju'})"
0.011,"frozenset({'Molto', 'Lifebuoy', 'Kapal Api'})"
0.0105,"frozenset({'Bimoli', 'Lifebuoy', 'Kapal Api'})"
0.0104,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Kapal Api'})"
0.0116,"frozenset({'Molto', 'Lifebuoy', 'Biskuat'})"
0.0104,"frozenset({'Lifebuoy', 'Biskuat', 'Sun Light Jeruk Nipis'})"
0.0118,"frozenset({'Molto', 'Lifebuoy', 'Sun Light Jeruk Nipis'})"
0.0119,"frozenset({'Sun Light Jeruk Nipis', 'Lifebuoy', 'Good Day'})"
0.0117,"frozenset({'Sun Light Jeruk Nipis', 'Lifebuoy', 'Taro'})"
0.0106,"frozenset({'Bimoli', 'Lifebuoy', 'Sun Light Jeruk Nipis'})"
0.01,"frozenset({'Indomie Kari Ayam', 'Lifebuoy', 'Sun Light Jeruk Nipis'})"
0.0107,"frozenset({'Lifebuoy', 'Sun Light Jeruk Nipis', 'Big Babol'})"
